symbol;available_exchanges;currency_base;currency_quote
"BNB/BTC";"[""Binance""]";"Binance Coin";"Bitcoin"
"BNB/CAD";"[""Synthetic""]";"BNB";"Canadian Dollar"
"BNB/ETH";"[""Binance""]";"Binance Coin";"Ethereum"
"BNB/EUR";"[""Binance""]";"Binance Coin";"Euro"
"BNB/INR";"[""Bitbns""]";"Binance Coin";"Indian Rupee"
"BNB/THB";"[""Bitkub""]";"Binance Coin";"Thai Baht"
"BNB/TRY";"[""Binance""]";"Binance Coin";"Turkish Lira"
"BNB/USD";"[""Binance"",""Gate.io""]";"Binance Coin";"US Dollar"
"BNS/INR";"[""Bitbns""]";"BNS Token";"Indian Rupee"
"BNT/BTC";"[""HitBTC""]";"Bancor";"Bitcoin"
"BNT/USD";"[""HitBTC"",""OKEx""]";"Bancor";"US Dollar"
"BOK/USD";"[""Synthetic""]";"Blockium";"US Dollar"
"BOLI/BTC";"[""YoBit""]";"Bolivarcoin";"Bitcoin"
"BOME/USDT";"[""Binance""]";"BOOK OF MEME";"US Dollar"
"BONK/USDT";"[""Binance""]";"Bonk";"US Dollar"
"BORA/KRW";"[""Upbit""]";"BORA";"Korean Won"
"BORA/USD";"[""Synthetic""]";"BORA";"US Dollar"
"BPCN/USD";"[""Synthetic""]";"Big Profit Coin";"US Dollar"
"BPC/USD";"[""Synthetic""]";"Bitpark Coin";"US Dollar"
"BPL/USD";"[""Synthetic""]";"Blockpool";"US Dollar"
"BQX/USD";"[""Synthetic""]";"Voyager Token";"US Dollar"
"BRAIN/USD";"[""Synthetic""]";"Braincoin";"US Dollar"
"BRD/USD";"[""Synthetic""]";"Bread";"US Dollar"
"BRETT/USD";"[""Bybit""]";"Brett";"US Dollar"
"BRK/USD";"[""Synthetic""]";"Breakout";"US Dollar"
"BRO/USD";"[""Synthetic""]";"Bitradio";"US Dollar"
"BRX/USD";"[""Synthetic""]";"Breakout Stake";"US Dollar"
"BRZE/USD";"[""Synthetic""]";"Breezecoin";"US Dollar"
"BSC/BTC";"[""YoBit""]";"BowsCoin";"Bitcoin"
"BSC/USD";"[""Synthetic""]";"BowsCoin";"US Dollar"
"BSN/USD";"[""Synthetic""]";"Bastonet";"US Dollar"
"BST/USD";"[""Synthetic""]";"BlockStamp";"US Dollar"
"BSTY/BTC";"[""YoBit""]";"GlobalBoost-Y";"Bitcoin"
"BSTY/USD";"[""Synthetic""]";"GlobalBoost-Y";"US Dollar"
"BSV/CAD";"[""Synthetic""]";"Bitcoin SV";"Canadian Dollar"
"BSV/EUR";"[""Synthetic""]";"Bitcoin SV";"Euro"
"BSV/KRW";"[""Bithumb"",""Upbit""]";"Bitcoin SV";"Korean Won"
"BSV/USD";"[""Huobi"",""OKEx""]";"Bitcoin SV";"US Dollar"
"BSV/ZAR";"[""AltCoinTrader""]";"Bitcoin SV";"South African Rand"
"BSW/TRY";"[""Binance""]";"Biswap";"Turkish Lira"
"BSW/USD";"[""Binance"",""Gate.io""]";"Biswap";"US Dollar"
"BTA/BTC";"[""YoBit""]";"Bata";"Bitcoin"
"BTA/USD";"[""Synthetic""]";"Bata";"US Dollar"
"BTBc/USD";"[""Synthetic""]";"Bitbase";"US Dollar"
"BTB/USD";"[""Synthetic""]";"BitBar";"US Dollar"
"BTC2X/USD";"[""Synthetic""]";"Bitcoin2x";"US Dollar"
"BTC/AUD";"[""BTC Markets"",""Independent Reserve""]";"Bitcoin";"Australian Dollar"
"BTCB/BTC";"[""HitBTC""]";"Bitcoin BEP2";"Ethereum"
"BTC/BRL";"[""Binance"",""MercadoBitcoin"",""NovaDAX""]";"Bitcoin";"Brazil Real"
"BTCB/USD";"[""Synthetic""]";"Bitcoin BEP2";"US Dollar"
"BTC/CAD";"[""Kraken""]";"Bitcoin";"Canadian Dollar"
"BTC/CHF";"[""Kraken""]";"Bitcoin";"Swiss Franc"
"BTC/ETH";"[""Synthetic""]";"Bitcoin";"Ethereum"
"BTC/EUR";"[""Binance"",""BitStamp"",""Coinbase Pro"",""Kraken""]";"Bitcoin";"Euro"
"BTC/GBP";"[""Coinbase Pro""]";"Bitcoin";"British Pound"
"BTC/IDR";"[""BTC Indonesia"",""Luno""]";"Bitcoin";"Indonesian Rupiah"
"BTC/ILS";"[""Synthetic""]";"Bitcoin";"Israeli Shekel"
"BTC/INR";"[""Bitbns"",""Synthetic""]";"Bitcoin";"Indian Rupee"
"BTC/JPY";"[""bitFlyer"",""BTCBOX""]";"Bitcoin";"Japanese Yen"
"BTC/KRW";"[""Bithumb"",""Coinone"",""Upbit""]";"Bitcoin";"Korean Won"
"BTC/MXN";"[""Bitso"",""Synthetic""]";"Bitcoin";"Mexican Peso"
"BTC/MYR";"[""Luno"",""Synthetic""]";"Bitcoin";"Malaysian Ringgit"
"BTC/NGN";"[""Luno""]";"Bitcoin";"Nigerian Naira"
"BTC/NZD";"[""Independent Reserve""]";"Bitcoin";"New Zealand Dollar"
"BTC/PLN";"[""BitBay"",""Exmo""]";"Bitcoin";"Polish Zloty"
"BTCP/USD";"[""Synthetic""]";"Bitcoin Private";"US Dollar"
"BTCRED/BTC";"[""YoBit""]";"Bitcoin Red";"Bitcoin"
"BTCRED/USD";"[""YoBit""]";"Bitcoin Red";"US Dollar"
"BTC/SAR";"[""Synthetic""]";"Bitcoin";"Saudi Riyal"
"BTC/SEK";"[""Synthetic""]";"Bitcoin";"Swedish Krona"
"BTCST/USD";"[""Gate.io""]";"Bitcoin Standard Hashrate Token";"US Dollar"
"BTCS/USD";"[""Synthetic""]";"Bitcoin Scrypt";"US Dollar"
"BTC/THB";"[""Bitkub"",""Satang Pro""]";"Bitcoin";"Thai Baht"
"BTC/TRY";"[""BTCTurk"",""Paribu""]";"Bitcoin";"Turkish Lira"
"BTC/UAH";"[""Exmo""]";"Bitcoin";"Ukrainian Hryvnia"
"BTC/UGX";"[""Luno""]";"Bitcoin";"Ugandan Shilling"
"BTC/USD";"[""Binance"",""Bitfinex"",""Coinbase Pro""]";"Bitcoin";"US Dollar"
"BTC/VND";"[""Synthetic""]";"Bitcoin";"Vietnamese Dong"
"BTC/ZAR";"[""Luno"",""Synthetic""]";"Bitcoin";"South African Rand"
"BTE/USD";"[""Synthetic""]";"BitSerial";"US Dollar"
"BTG/AUD";"[""Synthetic""]";"Bitcoin Gold";"Australian Dollar"
"BTG/BTC";"[""HitBTC""]";"Bitcoin Gold";"Bitcoin"
"BTG/CAD";"[""Synthetic""]";"Bitcoin Gold";"Canadian Dollar"
"BTG/CNY";"[""Synthetic""]";"Bitcoin Gold";"Chinese Yuan"
"BTG/ETH";"[""HitBTC""]";"Bitcoin Gold";"Ethereum"
"BTG/HKD";"[""Synthetic""]";"Bitcoin Gold";"Hong Kong Dollar"
"BTG/ILS";"[""Synthetic""]";"Bitcoin Gold";"Israeli Shekel"
"BTG/INR";"[""Synthetic""]";"Bitcoin Gold";"Indian Rupee"
"BTG/MXN";"[""Synthetic""]";"Bitcoin Gold";"Mexican Peso"
"BTG/MYR";"[""Synthetic""]";"Bitcoin Gold";"Malaysian Ringgit"
"BTG/PLN";"[""Synthetic""]";"Bitcoin Gold";"Polish Zloty"
"BTG/RUB";"[""Synthetic""]";"Bitcoin Gold";"Russian Ruble"
"BTG/SAR";"[""Synthetic""]";"Bitcoin Gold";"Saudi Riyal"
"BTG/SEK";"[""Synthetic""]";"Bitcoin Gold";"Swedish Krona"
"BTG/TRY";"[""Synthetic""]";"Bitcoin Gold";"Turkish Lira"
